stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1635,1635,"SHANTZ HILL / PRESTON PKWY",,  43.399956, -80.375693,,,0,
1636,1636,"GATEWAY PARK / KING",,  43.405829, -80.386093,,,0,
1637,1637,"GATEWAY PARK / TU LANE",,  43.407668, -80.389829,,,0,
1638,1638,"GATEWAY PARK / SPORTSWORLD",,  43.408096, -80.392468,,,0,
1639,1639,"SPORTSWORLD CROSSING / KING",,  43.409679, -80.397331,,,0,
1640,1640,"KING / DEER RIDGE",,  43.410727, -80.399593,,,0,
1641,1641,"KING / RIVERBANK",,  43.420106, -80.409272,,,0,
1642,1642,"FREEPORT HEALTH CENTRE",,  43.424092, -80.412272,,,0,
1643,1643,"KING / RIVER",,  43.425275, -80.419994,,,0,
1644,1644,"KING / HOFSTETTER",,  43.425748, -80.422584,,,0,
1645,1645,"KING / HEFFNER CRT",,  43.426758, -80.426590,,,0,
1646,1646,"KING / FAIRWAY",,  43.428266, -80.431097,,,0,
1647,1647,"FREEPORT HEALTH CENTRE",,  43.426025, -80.413402,,,0,
1648,1648,"MORRISON / GRAND RIVER",,  43.427849, -80.414460,,,0,
1649,1649,"PATH TO MORRISON PARK",,  43.429984, -80.416379,,,0,
1650,1650,"MORRISON / GRAND RIVER",,  43.432091, -80.414604,,,0,
1651,1651,"QUINTE / MORRISON",,  43.433599, -80.415417,,,0,
1652,1652,"MORRISON / QUINTE",,  43.431163, -80.416269,,,0,
1653,1653,"PATH TO MORRISON PARK",,  43.429840, -80.416368,,,0,
1654,1654,"HIGHLAND / EASTFOREST",,  43.429492, -80.531882,,,0,
1655,1655,"GRAND RIVER / UNDERHILL",,  43.427746, -80.415449,,,0,
1656,1656,"GRAND RIVER / RIVER",,  43.426910, -80.419151,,,0,
1657,1657,"MORGAN / RIVER",,  43.427675, -80.420972,,,0,
1658,1658,"MORGAN / GREENDALE",,  43.427334, -80.424744,,,0,
1659,1659,"MORGAN / SOUTHILL",,  43.428222, -80.427601,,,0,
1660,1660,"MORGAN / FAIRWAY",,  43.429697, -80.430825,,,0,
1661,1661,"KINGSWAY / WILSON",,  43.422806, -80.443045,,,0,
1664,1664,"RIVER / OLD CHICOPEE",,  43.439118, -80.433072,,,0,
1665,1665,"RIVER / RENNIE",,  43.443109, -80.438991,,,0,
1667,1667,"STANLEY PARK MALL TERMINAL",,  43.448905, -80.444079,,,0,place_SPM
1668,1668,"STANLEY PARK MALL TERMINAL",,  43.448931, -80.443844,,,0,place_SPM
1670,1670,"OTTAWA / MONTCALM",,  43.452804, -80.438592,,,0,
