block_id,route_id,trip_headsign,service_id,shape_id,trip_id
a_5331,53,Hespeler Terminal,muwtf_merged_998604,5301,544782
a_5332,53,Hespeler Terminal,muwtf_merged_998604,5301,544783
a_5333,53,Hespeler Terminal,muwtf_merged_998604,5301,544780
a_5334,53,Hespeler Terminal,muwtf_merged_998604,5301,544781
a_5531,63,Champlain,muwtf_merged_998604,6300,544788
a_5533,63,Champlain,muwtf_merged_998604,6300,544789
b_2236,22,Laurentian West to Forest Glen,muwtf_merged_998607,2211,558503
a_8131,201,UW/LAURIER,s_merged_998603,20101,553651
b_2234,22,Laurentian West to Forest Glen,muwtf_merged_998607,2211,558502
b_932,9,Lakeshore to Conestoga Mall,a_merged_998605,911,582678
b_937,9,Lakeshore to Conestoga Mall,a_merged_998605,911,582679
a_5633,60,Northview Acres,a_merged_998602,6000,550389
a_5631,60,Northview Acres,a_merged_998602,6000,550388
a_5632,60,Northview Acres,a_merged_998602,6000,550387
a_5633,60,Northview Acres,a_merged_998602,6000,550386
a_5632,60,Northview Acres,a_merged_998602,6000,550385
a_5631,60,Northview Acres,a_merged_998602,6000,550384
a_5632,60,Northview Acres,a_merged_998602,6000,550383
a_5633,60,Northview Acres,a_merged_998602,6000,550382
a_5631,60,Northview Acres,a_merged_998602,6000,550381
a_5632,60,Northview Acres,a_merged_998602,6000,550380
b_6102,61,Conestoga College,muwtf_merged_998607,6100,559133
b_6101,61,Conestoga College,muwtf_merged_998607,6100,559132
b_6102,61,Conestoga College,muwtf_merged_998607,6100,559131
b_6101,61,Conestoga College,muwtf_merged_998607,6100,559130
a_734,27,Fairview Park,s_merged_998603,2711,553080
b_6102,61,Conestoga College,muwtf_merged_998607,6100,559137
b_6101,61,Conestoga College,muwtf_merged_998607,6100,559136
b_8081,9854,ARC Industries,muwtf_merged_998607,985402,568928
b_5631,64,Cambridge Centre,a_merged_998605,6411,582537
b_6102,61,Conestoga College,muwtf_merged_998607,6100,559135
b_703,7,D Charles St Terminal,muwtf_merged_998607,723,561563
b_6101,61,Conestoga College,muwtf_merged_998607,6100,559134
b_931,5,Uptown,muwtf_merged_998607,511,557719
b_935,5,Uptown,muwtf_merged_998607,511,557718
b_935,5,Uptown,muwtf_merged_998607,511,557711
b_932,5,Uptown,muwtf_merged_998607,511,557710
b_934,5,Uptown,muwtf_merged_998607,511,557713
a_733,13,Laurelwood,s_merged_998603,1301,553086
b_936,5,Uptown,muwtf_merged_998607,511,557715
b_1233,5,Uptown,muwtf_merged_998607,511,557714
b_932,5,Uptown,muwtf_merged_998607,511,557717
b_933,5,Uptown,muwtf_merged_998607,511,557716
b_5632,64,Cambridge Centre,a_merged_998605,6411,582536
b_713,14,Bathurst,muwtf_merged_998607,1401,562500
a_733,7,D UW via University,s_merged_998603,702,552833
a_705,7,D UW via University,s_merged_998603,702,552832
a_781,7,D UW via University,s_merged_998603,702,552831
a_737,7,D UW via University,s_merged_998603,702,552830
a_702,7,C Conestoga Mall,s_merged_998603,707,552837
a_734,7,D UW via University,s_merged_998603,702,552836
a_733,7,C Conestoga Mall,s_merged_998603,707,552835
a_738,7,D UW via University,s_merged_998603,702,552834
a_734,7,C Conestoga Mall,s_merged_998603,707,552839
a_706,7,C Conestoga Mall,s_merged_998603,707,552838
b_702,7,B Fairview Park via Weber,a_merged_998605,713,583679
b_5132,65,Tri-City Centre,muwtf_merged_998607,6511,564528
b_5131,65,Tri-City Centre,muwtf_merged_998607,6511,564529
b_5205,52,Fairview via Preston Pkwy,muwtf_merged_998607,5201,564038
b_5206,52,Fairview via Preston Pkwy,muwtf_merged_998607,5201,564039
b_5133,65,Tri-City Centre,muwtf_merged_998607,6511,564520
b_5131,65,Tri-City Centre,muwtf_merged_998607,6511,564521
b_8102,201,Forest Glen Plaza,muwtf_merged_998607,20112,564030
b_5133,65,Tri-City Centre,muwtf_merged_998607,6511,564523
b_5131,65,Tri-City Centre,muwtf_merged_998607,6511,564524
b_5132,65,Tri-City Centre,muwtf_merged_998607,6511,564525
b_5133,65,Tri-City Centre,muwtf_merged_998607,6511,564526
b_5131,65,Tri-City Centre,muwtf_merged_998607,6511,564527
b_1234,12,To Fairview Park,muwtf_merged_998607,1211,563853
b_5131,65,Fisher Mills,a_merged_998605,6501,583391
b_933,13,Laurelwood,a_merged_998605,1301,582635
b_5132,51,Hespeler Road to Hespeler,muwtf_merged_998607,5101,557210
b_801,8,University via East/Westmount,s_merged_998606,803,584739
b_802,8,University via East/Westmount,s_merged_998606,803,584738
b_431,4,Glasgow,a_merged_998605,412,583109
b_432,4,Glasgow,a_merged_998605,412,583108
b_5133,51,Hespeler Road to Hespeler,muwtf_merged_998607,5101,557211
b_801,8,University via East/Westmount,s_merged_998606,803,584733
b_802,8,University via East/Westmount,s_merged_998606,803,584732
b_703,14,Bathurst,muwtf_merged_998607,1401,562502
b_802,8,University via East/Westmount,s_merged_998606,803,584730
b_5531,55,St. Andrews,a_merged_998605,5500,583101
b_5532,55,St. Andrews,a_merged_998605,5500,583100
b_801,8,University via East/Westmount,s_merged_998606,803,584735
b_5531,55,St. Andrews,a_merged_998605,5500,583102
a_8008,200,iXpress to Ainslie Terminal,muwtf_merged_998604,20011,548207
a_8025,200,iXpress to Ainslie Terminal,muwtf_merged_998604,20011,548206
a_8024,200,iXpress to Ainslie Terminal,muwtf_merged_998604,20011,548205
a_8002,200,iXpress to Ainslie Terminal,muwtf_merged_998604,20011,548204
a_8004,200,iXpress to Ainslie Terminal,muwtf_merged_998604,20011,548203
a_8027,200,iXpress to Ainslie Terminal,muwtf_merged_998604,20011,548202
a_8026,200,iXpress to Ainslie Terminal,muwtf_merged_998604,20011,548201
a_8081,200,iXpress to Ainslie Terminal,muwtf_merged_998604,20011,548200
